Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cereal,Type 2 Diabetes Mellitus Cohort,Solid Mixed Meal Test,581 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,,,,,TOTAL GLP-1,Time,Pmol/L,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L ,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,10.37,,,,,,,0,1.69,,,,,,,,,,,,,,,,,0,21.84,,,0,9.81,,,0,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,36.83,,,,,,,15,3.58,,,,,,,,,,,,,,,,,15,52.68,,,15,10.97,,,15,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,63.29,,,,,,,30,5.51,,,,,,,,,,,,,,,,,30,84.30,,,30,12.08,,,30,10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,67.44,,,,,,,60,5.38,,,,,,,,,,,,,,,,,60,158.82,,,60,11.05,,,60,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,68.99,,,,,,,90,4.86,,,,,,,,,,,,,,,,,90,217.20,,,90,10.96,,,90,14.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,58.79,,,,,,,120,3.95,,,,,,,,,,,,,,,,,120,194.58,,,120,10.73,,,120,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,52.22,,,,,,,150,4.04,,,,,,,,,,,,,,,,,150,153.18,,,150,10.72,,,150,11.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,54.47,,,,,,,180,4.04,,,,,,,,,,,,,,,,,180,129.84,,,180,10.38,,,180,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim 2016,"Kim EK, Oh TJ, Kim LK, Cho YM. Improving Effect of the Acute Administration of Dietary Fiber-Enriched Cereals on Blood Glucose Levels and Gut Hormone Secretion. J Korean Med Sci. 2016 Feb;31(2):222-30. doi: 10.3346/jkms.2016.31.2.222. Epub 2016 Jan 26. PMID: 26839476; PMCID: PMC4729502.",13,Type 2 Diabetes Mellitus  Cohort,23.7,2.9,9,52.2,8.0,,"Subjects A total of 15 patients with type 2 diabetes aged between 20 to 65 years with a HbA1c of 6.0% to 8.5% who were treated with life- style modification, metformin monotherapy, or both, were recruited. We excluded subjects who were undergoing insulin therapy, had lactose intolerance, had an allergy to flour, grains, nuts or other cereals, and women who were pregnant or lactating.  Randomization was performed using a random number table to decide which cereal (DC or CC) would be served at the first admission. Meals based on cereal (described separately below) were served at 6 p.m. and 10 p.m. on day 1 and 8 a.m. on day 2. Participants were asked to eat each meal within 15 minutes. Before break-fast on day 2, a 22-gauge intravenous catheter was placed in the antecubital vein for blood sampling. Samples were obtained every 30 minutes from 8 a.m. (0 hour) to 4 p.m. (8 hours). At noon (4 hours), subjects were asked to eat a meal comprising a hamburger within 20 minutes. After all study procedures were finished, participants were discharged. After a week, the same procedures were repeated with the other cereal-based test meal. The baseline characteristics are shown as the mean ± SD. Serially measured continuous variables are presented as the mean ± SEM. Data were separately analyzed according to the time period (0 to 4 hours and 4 to 8 hours). Postprandial time course data were analyzed by repeated measures two-way ANOVA. The iAUCs were calculated by the trapezoid method and compared between the two groups by a non-parametric t-test. Spearman correlation analyses among the variables were performed within each cereal group. Statistical significance was assumed if P < 0.05. All statistical analyses were performed using PrismGraphPad version 5.0 (GraphPad, San Diego, CA, USA).","Blood samples were collected in serum separation tubes (BD Vacutainer® SSTTM, Becton, Dickinson and Company, Franklin Lakes, NJ, USA) and EDTA tubes (BD Vacutainer®, Becton, Dickinson and Company) containing a DPP-4 inhibitor (10 μL/mL of blood; Millipore, St. Charles, MO, USA), and centrifuged for 10 minutes at 1,500 g for 20 minutes at 4°C. Plasma glucose levels were analyzed using a YSI 2300 STAT Plus analyzer (YSI Inc., Yellow Springs, OH, USA) immediately after centrifugation. The serum and plasma samples were stored at -70°C until assayed. Non-esterified fatty acids (NEFA) were measured by a colorimetric assay using a Hitachi analyzer (Hitachi, Tokyo, Japan), and the glucagon concentrations were measured by a radioimmunoassay (Siemens, Los Angeles, CA, USA). The concentrations of insulin (Alpco Diagnostics, Salem, NH, USA), total GLP-1 (Alpco Diagnostics), and total GIP (Millipore, Billerica, MA,USA) were measured by enzyme-linked immunosorbent assay (ELISA) according to the manufacturer’s instructions. We did not use the ethanol extraction method, and the amount of plasma used was 100 μL each.","Study meals The nutrient details of the meals DC contained 14.7 g of dietary fiber per serving (79 g), and CC, the isocaloric control meal, contained 2.9 g of dietary fiber per serving (80 g). DC was composed of brown rice (35%), whole wheat (15%), barley (10%), dietary fiber from oat (14%), chicory (10%), ndigestible maltodextrin (6%), and black beans (10%) (SSial Food Inc., Jecheon, Korea). CC was composed of milled corn(SSial Food Inc.). For dinner on day 1 and breakfast on day 2, one serving of DC or CC was supplied with 300 mL of mil and a steamed egg. For a night snack on day 1, a half serving of DC or CC was provided with 200 mL of milk. A hamburger (Double Cheese Burger purchased from McDonald’s) with 250 mL of Coke was served for lunch on day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Cereal fiber-enriched ,Type 2 Diabetes Mellitus Cohort,Solid Mixed Meal Test,581 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,,,,,TOTAL GLP-1,Time,Pmol/L,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L ,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,7.95,,,,,,,0,2.01,,,,,,,,,,,,,,,,,0,20.34,,,0,10.24,,,0,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,30.95,,,,,,,15,4.04,,,,,,,,,,,,,,,,,15,56.82,,,15,11.96,,,15,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,55.68,,,,,,,30,5.99,,,,,,,,,,,,,,,,,30,90.72,,,30,13.58,,,30,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,57.23,,,,,,,60,5.84,,,,,,,,,,,,,,,,,60,170.88,,,60,12.75,,,60,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,50.14,,,,,,,90,4.86,,,,,,,,,,,,,,,,,90,199.86,,,90,12.41,,,90,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,50.32,,,,,,,120,4.86,,,,,,,,,,,,,,,,,120,190.86,,,120,11.42,,,120,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,46.86,,,,,,,150,4.04,,,,,,,,,,,,,,,,,150,137.40,,,150,12.63,,,150,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,41.84,,,,,,,180,4.41,,,,,,,,,,,,,,,,,180,97.50,,,180,12.77,,,180,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill 2012,"Hill BR, De Souza MJ, Wagstaff DA, Sato R, Williams NI. 24-hour profiles of circulating ghrelin and peptide YY are inversely associated in normal weight premenopausal women. Peptides. 2012 Nov;38(1):159-62. doi: 10.1016/j.peptides.2012.08.017. Epub 2012 Sep 4. PMID: 22954902; PMCID: PMC3496067.",13,No obesity-No T2DM Cohort,21.3,0.5,13,18 a 24,NR,"We examined the 24h profiles of total PYY and total ghrelin in 13 women ages 18–24y. Non-smoking, non-exercising (<1h/wk exercise) women with a body weight (BW) of 48–73kg, 15–30% body fat and BMI between 18–25kg/m2 were included. Exclusion criteria included evidence of disordered eating or history of an eating  disorder, loss/gain of BW (±2.3kg) in the past year, or use of hormonal contraceptives or medications that may alter metabolism. Participants completed an informed consent that was approved by the Biomedical Institutional Review Board of The Pennsylvania State University. Participants were prescribed caloric intake to maintain BW estimated based 24h energy expenditure (EE). This was determined from the sum of 24h resting metabolic rate (RMR; kcal/24h) and EE above rest determined with the use of a research accelerometer (AM) worn over 7 days that measured the energy cost of all non-purposeful activity (triaxial RT3 accelerometer, Stayhealthy, Monrovia, CA). BW was recorded to the nearest 0.01kg. RMR using indirect calorimetry and hydrostatic weighing to obtain body composition were performed using previously published methods [5]. Participants were deemed weight stable if BW, obtained once daily in the morning, fluctuated by ±1kg over a period of 7 daysParticipants arrived fasted (8–12h) and abstinent from exercise or caffeine ingestion (24h) at the general clinical research center (GCRC) at 0730h the day of testing. After insertion of an IV catheter into a forearm vein, blood samples were obtained q 10 min for 24h (total=488mL) while participants remained supine. Samples were allowed to clot at room temperature and spun in a centrifuge for 15min at 2500 rpm. Serum samples were untreated, aliquoted to serum storage tubes and stored at −80°C until analysis Dietary intake (total=1452±48kcal) was comprised of 55% carbohydrates, 30% fat, and 15% protein and consisted of 3 meals and a snack prepared for 0900h (412±28kcal), 1200h (472±24kcal), 1800h (504±0kcal) and 2100h (66±4kcal). Energy provided to participants was 85% of their prescribed weight maintenance energy needs to account for reductions in EE due to inactivity associated with bed rest. Participants consumed all food provided within 30 minutes at each meal.","Statistical Analysis Fasting PYY and fasting ghrelin were designated as the concentrations at 0800h. Peaks were defined as the highest concentration measured 1–2h before (ghrelin) or after (PYY) meal administration. Twenty-four h mean represented the average of all concentrations measured over 24h. Total area under the curve (AUC) was calculated using the trapezoidal rule. Linear mixed-effects (random coefficients) models were fitted to participants’ responses to determine if PYY concentrations were associated with ghrelin concentrations over 24h. A regression coefficient was considered significantly different from 0 if the p-value of the corresponding (t | z) test was ≤0.05. Data are reported as mean ± SEM. All analyses were performed using SPSS software (Version 18.0; Chicago, IL). 24-hour Repeated Blood Sampling Protocol Participants arrived fasted (8–12h) and abstinent from exercise or caffeine ingestion (24h) at the general clinical research center (GCRC) at 0730h the day of testing. After insertion of an IV catheter into a forearm vein, blood samples were obtained q 10 min for 24h (total=488mL) while participants remained supine. Samples were allowed to clot at room temperature and spun in a centrifuge for 15min at 2500 rpm. Serum samples were untreated, aliquoted to serum storage tubes and stored at −80°C until analysis.","Radioimmunoassay Analysis: Serum samples were assayed for total ghrelin using the Linco Research RIA kit (St. Charles, MO). Assay sensitivity was 100pg/mL. The intra-assay and inter-assay coefficients of variation for the high and low controls were 2.7% and 16.7% and 1.2% and 14.7%, respectively. Total PYY was assayed using an RIA (Millipore, Billerica, MA). PYY assay sensitivity was 10pg/mL and the intra-assay and inter-assay coefficients of variation were 2.9% and 7.1%, respectively. Samples were assayed hourly from 0800–1000h and from 2000–0800h and every 20 minutes from 1000–2000h.","Dietary intake (total=1452±48kcal) was comprised of 55% carbohydrates, 30% fat, and 15% protein and consisted of 3 meals and a snack prepared for 0900h (412±28kcal), 1200h (472±24kcal), 1800h (504±0kcal) and 2100h (66±4kcal). Energy provided to participants was 85% of their prescribed weight maintenance energy needs to account for reductions in EE due to inactivity associated with bed rest. Participants consumed all food provided within 30 minutes at each meal. Solid Mixed Meal Test (0900h)",No obesity-No T2DM Cohort,Solid Mixed Meal Test,412 Kcal,TOTAL GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,TOTAL PYY,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,459.38,,,,,,,,,,,,,,,,,,,,,,,0,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,15,464.06,,,,,,,,,,,,,,,,,,,,,,,15,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,30,468.75,,,,,,,,,,,,,,,,,,,,,,,30,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60,477.19,,,,,,,,,,,,,,,,,,,,,,,60,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,90,418.13,,,,,,,,,,,,,,,,,,,,,,,90,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,120,359.06,,,,,,,,,,,,,,,,,,,,,,,120,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,150,284.06,,,,,,,,,,,,,,,,,,,,,,,150,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,180,245.63,,,,,,,,,,,,,,,,,,,,,,,180,15.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill 2012,"Hill BR, De Souza MJ, Wagstaff DA, Sato R, Williams NI. 24-hour profiles of circulating ghrelin and peptide YY are inversely associated in normal weight premenopausal women. Peptides. 2012 Nov;38(1):159-62. doi: 10.1016/j.peptides.2012.08.017. Epub 2012 Sep 4. PMID: 22954902; PMCID: PMC3496067.",13,No obesity-No T2DM Cohort,21.3,0.5,13,18 a 24,NR,"We examined the 24h profiles of total PYY and total ghrelin in 13 women ages 18–24y. Non-smoking, non-exercising (<1h/wk exercise) women with a body weight (BW) of 48–73kg, 15–30% body fat and BMI between 18–25kg/m2 were included. Exclusion criteria included evidence of disordered eating or history of an eating  disorder, loss/gain of BW (±2.3kg) in the past year, or use of hormonal contraceptives or medications that may alter metabolism. Participants completed an informed consent that was approved by the Biomedical Institutional Review Board of The Pennsylvania State University. Participants were prescribed caloric intake to maintain BW estimated based 24h energy expenditure (EE). This was determined from the sum of 24h resting metabolic rate (RMR; kcal/24h) and EE above rest determined with the use of a research accelerometer (AM) worn over 7 days that measured the energy cost of all non-purposeful activity (triaxial RT3 accelerometer, Stayhealthy, Monrovia, CA). BW was recorded to the nearest 0.01kg. RMR using indirect calorimetry and hydrostatic weighing to obtain body composition were performed using previously published methods [5]. Participants were deemed weight stable if BW, obtained once daily in the morning, fluctuated by ±1kg over a period of 7 daysParticipants arrived fasted (8–12h) and abstinent from exercise or caffeine ingestion (24h) at the general clinical research center (GCRC) at 0730h the day of testing. After insertion of an IV catheter into a forearm vein, blood samples were obtained q 10 min for 24h (total=488mL) while participants remained supine. Samples were allowed to clot at room temperature and spun in a centrifuge for 15min at 2500 rpm. Serum samples were untreated, aliquoted to serum storage tubes and stored at −80°C until analysis Dietary intake (total=1452±48kcal) was comprised of 55% carbohydrates, 30% fat, and 15% protein and consisted of 3 meals and a snack prepared for 0900h (412±28kcal), 1200h (472±24kcal), 1800h (504±0kcal) and 2100h (66±4kcal). Energy provided to participants was 85% of their prescribed weight maintenance energy needs to account for reductions in EE due to inactivity associated with bed rest. Participants consumed all food provided within 30 minutes at each meal.","Statistical Analysis Fasting PYY and fasting ghrelin were designated as the concentrations at 0800h. Peaks were defined as the highest concentration measured 1–2h before (ghrelin) or after (PYY) meal administration. Twenty-four h mean represented the average of all concentrations measured over 24h. Total area under the curve (AUC) was calculated using the trapezoidal rule. Linear mixed-effects (random coefficients) models were fitted to participants’ responses to determine if PYY concentrations were associated with ghrelin concentrations over 24h. A regression coefficient was considered significantly different from 0 if the p-value of the corresponding (t | z) test was ≤0.05. Data are reported as mean ± SEM. All analyses were performed using SPSS software (Version 18.0; Chicago, IL). 24-hour Repeated Blood Sampling Protocol Participants arrived fasted (8–12h) and abstinent from exercise or caffeine ingestion (24h) at the general clinical research center (GCRC) at 0730h the day of testing. After insertion of an IV catheter into a forearm vein, blood samples were obtained q 10 min for 24h (total=488mL) while participants remained supine. Samples were allowed to clot at room temperature and spun in a centrifuge for 15min at 2500 rpm. Serum samples were untreated, aliquoted to serum storage tubes and stored at −80°C until analysis.","Radioimmunoassay Analysis: Serum samples were assayed for total ghrelin using the Linco Research RIA kit (St. Charles, MO). Assay sensitivity was 100pg/mL. The intra-assay and inter-assay coefficients of variation for the high and low controls were 2.7% and 16.7% and 1.2% and 14.7%, respectively. Total PYY was assayed using an RIA (Millipore, Billerica, MA). PYY assay sensitivity was 10pg/mL and the intra-assay and inter-assay coefficients of variation were 2.9% and 7.1%, respectively. Samples were assayed hourly from 0800–1000h and from 2000–0800h and every 20 minutes from 1000–2000h.","Dietary intake (total=1452±48kcal) was comprised of 55% carbohydrates, 30% fat, and 15% protein and consisted of 3 meals and a snack prepared for 0900h (412±28kcal), 1200h (472±24kcal), 1800h (504±0kcal) and 2100h (66±4kcal). Energy provided to participants was 85% of their prescribed weight maintenance energy needs to account for reductions in EE due to inactivity associated with bed rest. Participants consumed all food provided within 30 minutes at each meal. Solid Mixed Meal Test (1200h)",No obesity-No T2DM Cohort,Solid Mixed Meal Test,472 Kcal,TOTAL GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,TOTAL PYY,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,359.06,,,,,,,,,,,,,,,,,,,,,,,0,15.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,15,321.56,,,,,,,,,,,,,,,,,,,,,,,15,17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,30,286.88,,,,,,,,,,,,,,,,,,,,,,,30,20.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60,225.00,,,,,,,,,,,,,,,,,,,,,,,60,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,90,244.69,,,,,,,,,,,,,,,,,,,,,,,90,18.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,120,286.88,,,,,,,,,,,,,,,,,,,,,,,120,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,150,345.00,,,,,,,,,,,,,,,,,,,,,,,150,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,180,330.94,,,,,,,,,,,,,,,,,,,,,,,180,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
