study,reference,N,cohort,BMI,BMI_sd,Nfem,age,age_sd,caloric_test,kcal,hormone,time_min,value,cohort_lvl1,cohort_lvl2
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,TOTAL PYY,150,35.46,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,0,77.7,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,15,86.26,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,30,84.48,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,60,80.92,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,90,76.68,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,120,74.63,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,150,74.91,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,ACYLATED GHRELIN,180,74.36,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,Insulin,0,15.6,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,Insulin,15,51.72,Lean,Lean
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Lean,23.5,2.6,5,43.5,5,Solid Mixed Meal Test,770,Insulin,30,91.92,Lean,Lean
